distrito_pr,distrito,populacao_total,ano,tamanho_em_ha,tamanho_em_m2,tamanho_em_km2,razao_residentes_0_4,razao_residentes_5_9,razao_residentes_10_14,razao_residentes_15_19,razao_residentes_20_24,razao_residentes_25_29,razao_residentes_30_34,razao_residentes_35_39,razao_residentes_40_44,razao_residentes_45_49,razao_residentes_50_54,razao_residentes_55_59,razao_residentes_60_64,razao_residentes_65_69,razao_residentes_70_74,razao_residentes_75_79,razao_residentes_80_84,razao_residentes_85_89,razao_residentes_90_94,razao_residentes_95_99,razao_residentes_100
capao redondo,Capão Redondo,284083,2018,1.36,13600000,"13,6",0.07376576402249106,0.08018487025962959,0.09149366090001451,0.08402517033889159,0.09581399848918427,0.10099765935198657,0.09383430891344068,0.0815803281372684,0.07203911747522597,0.059186020116920764,0.05080210918806679,0.04097064328747549,0.02976976805629463,0.019309415805514107,0.012101410714883768,0.0070591562503488645,0.004085900665726438,0.0019908532387647036,7.18195654358108E-4,1.9722471337295193E-4,7.442442014073658E-5
capao redondo,Capão Redondo,285901,2019,1.36,13600000,"13,6",0.07376576402249106,0.08018487025962959,0.09149366090001451,0.08402517033889159,0.09581399848918427,0.10099765935198657,0.09383430891344068,0.0815803281372684,0.07203911747522597,0.059186020116920764,0.05080210918806679,0.04097064328747549,0.02976976805629463,0.019309415805514107,0.012101410714883768,0.0070591562503488645,0.004085900665726438,0.0019908532387647036,7.18195654358108E-4,1.9722471337295193E-4,7.442442014073658E-5
capao redondo,Capão Redondo,287693,2020,1.36,13600000,"13,6",0.07376576402249106,0.08018487025962959,0.09149366090001451,0.08402517033889159,0.09581399848918427,0.10099765935198657,0.09383430891344068,0.0815803281372684,0.07203911747522597,0.059186020116920764,0.05080210918806679,0.04097064328747549,0.02976976805629463,0.019309415805514107,0.012101410714883768,0.0070591562503488645,0.004085900665726438,0.0019908532387647036,7.18195654358108E-4,1.9722471337295193E-4,7.442442014073658E-5
capao redondo,Capão Redondo,289495,2021,1.36,13600000,"13,6",0.07376576402249106,0.08018487025962959,0.09149366090001451,0.08402517033889159,0.09581399848918427,0.10099765935198657,0.09383430891344068,0.0815803281372684,0.07203911747522597,0.059186020116920764,0.05080210918806679,0.04097064328747549,0.02976976805629463,0.019309415805514107,0.012101410714883768,0.0070591562503488645,0.004085900665726438,0.0019908532387647036,7.18195654358108E-4,1.9722471337295193E-4,7.442442014073658E-5
cidade ademar,Cidade Ademar,276523,2017,1.2,12000000,12,0.06959250940261962,0.07339855482767801,0.08382299451404487,0.08097689749175982,0.09535737454111841,0.09878844012134348,0.09344122753402005,0.08061691684071981,0.0712536701152313,0.06038300441351278,0.05380960773358432,0.04352766038825413,0.03347820054672061,0.02327874876725376,0.01664535531215197,0.010803169329648532,0.006228415222681781,0.003014837952460055,0.0011061905422583536,3.674802479366734E-4,1.0874415500166866E-4
cidade ademar,Cidade Ademar,277820,2018,1.2,12000000,12,0.06959250940261962,0.07339855482767801,0.08382299451404487,0.08097689749175982,0.09535737454111841,0.09878844012134348,0.09344122753402005,0.08061691684071981,0.0712536701152313,0.06038300441351278,0.05380960773358432,0.04352766038825413,0.03347820054672061,0.02327874876725376,0.01664535531215197,0.010803169329648532,0.006228415222681781,0.003014837952460055,0.0011061905422583536,3.674802479366734E-4,1.0874415500166866E-4
cidade ademar,Cidade Ademar,279087,2019,1.2,12000000,12,0.06959250940261962,0.07339855482767801,0.08382299451404487,0.08097689749175982,0.09535737454111841,0.09878844012134348,0.09344122753402005,0.08061691684071981,0.0712536701152313,0.06038300441351278,0.05380960773358432,0.04352766038825413,0.03347820054672061,0.02327874876725376,0.01664535531215197,0.010803169329648532,0.006228415222681781,0.003014837952460055,0.0011061905422583536,3.674802479366734E-4,1.0874415500166866E-4
cidade ademar,Cidade Ademar,280322,2020,1.2,12000000,12,0.06959250940261962,0.07339855482767801,0.08382299451404487,0.08097689749175982,0.09535737454111841,0.09878844012134348,0.09344122753402005,0.08061691684071981,0.0712536701152313,0.06038300441351278,0.05380960773358432,0.04352766038825413,0.03347820054672061,0.02327874876725376,0.01664535531215197,0.010803169329648532,0.006228415222681781,0.003014837952460055,0.0011061905422583536,3.674802479366734E-4,1.0874415500166866E-4
cidade ademar,Cidade Ademar,281563,2021,1.2,12000000,12,0.06959250940261962,0.07339855482767801,0.08382299451404487,0.08097689749175982,0.09535737454111841,0.09878844012134348,0.09344122753402005,0.08061691684071981,0.0712536701152313,0.06038300441351278,0.05380960773358432,0.04352766038825413,0.03347820054672061,0.02327874876725376,0.01664535531215197,0.010803169329648532,0.006228415222681781,0.003014837952460055,0.0011061905422583536,3.674802479366734E-4,1.0874415500166866E-4
cidade dutra,Cidade Dutra,194438,2017,2.93,29300000,"29,3",0.06543593399877776,0.0724791199837034,0.08428906090853534,0.08025056019555918,0.09145956406600123,0.09412303931554288,0.08954471379099613,0.07943573029130169,0.07364025259727032,0.0647484212670605,0.058265430841311874,0.04701568547565696,0.036850682420044814,0.0243430433896924,0.016714198411081686,0.010643715624363415,0.0064320635567325325,0.0030708902016704015,9.421470767977185E-4,2.64819718883683E-4,5.092686901609289E-5
